text,sentiment
Awesome!! Easy to use......just perfect!!!!,Positive
"I like this app, because it fits well in my daily routines and offers very many settings, especially regarding appearance. It has some basic design flaws and misses some easy opportunities, but all in all it is a valuable application for my personal time management.",Positive
"I am a vanilla habitician, but that game failed to serve it's purpose several times and I eventually quit. I linked it to several systemic errors. I was even thinking about creating my own habit rpg free of those but then I found Do It Now. Not only it answers all of my concerns it even adds more features, like drawbacks for completing certain tasks (anti-procrastinator) or putting player in position where he has to maintain his characteristics. Amazing, thank you devs. Please port it to web.",Positive
The best app for people with or without ADHD,Positive
Great tool for coordinating between family members! I love being able to share lists so everyone is on the same page.,Positive
"Add ""negative habits"" which when done decrease coin, xp etc.",Positive
"Seems good for people who use a calendar already, but I hate Google calenders and Outlook alike. I couldn't figure out how to create my schedule without using one of those terrible calendars so I uninstalled.",Positive
"Almost perfect. The only changes that would be helpful is a quicker way to switch from the week view to the task list. And i would like to see my tasks as a list by default instead of clicking on the task categories. Also I wish that you had a rollover option for tasks, I have yet to find an app that had this: basically I wish when I create a task I could choose if the task carries forward to the next day if not completed or not.",Positive
The widget is quite imlressive,Positive
"This was a solid replacement for wunderlist, but it isn't simply a to do list. It's more of productive tasks",Positive
"Needs some more functionality and integration with PC, but good.",Positive
This app is too good,Positive
"4 years later, still my go to calendar app.",Positive
This is a great planner app. Only thing missing is the ability to rotate into portrait or even rotate 180 degrees.,Positive
Awesome app!! The only feature I wanna see in the future is setting durations for task.,Positive
Love it,Positive
Very good app for manage the things. Easy to use.,Positive
"Great app, very pleased so far",Positive
Please subscribe the channel,Positive
Great app,Positive
Good,Positive
Exactly what I was looking for. This app really helps me keep track of my habits and it super user friendly. Love it!,Positive
Great user interface. Easy to use. Syncing with Google calendar is a huge advantage. From To-do lists to events you can schedule anything.,Positive
"I love this game. It has helped me do much It's a bit of a learning curve. It would be nice if challenges were visible from the app in all of the guilds, and I would also like to see the last day and time that a habit was marked, because the colors don't always change and if you have a lot of habits it gets confusing. Otherwise, this app is brilliantly done and will be getting my monetary support in whatever way I can afford.",Positive
"Great app! I use TimeTune to time block my entire day into short segments. A few fixes: [ when scheduling a day in advance, the time auto-sets to 24 hours (ending next day). If I scheduled breakfast from 8:00 AM to 8:30 AM, it automatically sets to 830 AM the next day. Very tedious to change.] [difficult to see overlapping tasks] [no easy way to push an entire schedule back, if you are late on one item, and need to push everything by 10 min for example. You have to change each manually.]",Positive
"The sub tasks are really a great help in organizing thoughts and tasks. I also love the Projects section! It gives me the freedom to just dump all the stuff in my head, allowing me to have a space for other stuff to think about. My mindspace is feeling a lot freer than ever before, the simple reminder apps just don't work for me. I like the Karma feature too!",Positive
"The best thing about the app is it crosses the tasks with a straight line, along with the time at which they get completed. This gives a unique satisfaction.",Positive
I've never rated something on Google Play so for this app to get me to give an amazing rating is saying something. This is my favorite routine planning app because it allows you to set habits and routines in an intuitive way. It allows you to view the progress you're making with habits. And it gives you the most functionality without having to pay anything. Other apps give little functionality before you have to pay.,Positive
Perfect,Positive
This calendar is perfect for all my business and personal appointments.,Positive
"A clean and simple app that I've used for a long time now. It's really been helpful for scheduling various errands, tasks and events in my calendar. Its simplicity makes it really easy to use in daily life. Highly recommended.",Positive
"Haven't used it much but so far I enjoy the idea. I would like to suggest adding a notification every so often option. For example, I'm wanting to do 12 pushups every hour, every day, 10 hours a day.",Positive
Love this app!!! It's so easy to use. It helps me be organized with the option of having multiple lists. Plus....it's colorful!!,Positive
Great App! I paid for the pro version. I like the customice options to create character traits and unique skills. Pls upload a yoga and a meditation icon :),Positive
"Extremely useful, easy to use and integrates well with everything else I use.",Positive
